METHOD_ID,PROGRAM,PROGRAM_MODEL,CLAIM_TYPE,ICD_VER,CLAIM_CD_TYPE,CLAIM_CD,CLAIM_CD_MODIFIER_TYPE,CLAIM_CD_MODIFIER,CC_ID,SUBCC,GENDER,EXCLUSION_TYPE_1,EXCLUSION_1,EXCLUSION_TYPE_2,EXCLUSION_2,AGE_FIRST_START,AGE_FIRST_END,AGE_LAST_START,AGE_LAST_END,PROGRAM_CLAIM_TYPE,QUALIFIED_CLAIM,BUNDLED_CHECK,EFFECTIVE_DATE,EXPIRATION_DATE,PERCENT_WEIGHT
2,MCAID,Medicaid,I,0,CPT-HCPCS GROUP,C9265,,,40,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.889706
2,MCARE,MedicareAdv,I,0,CPT-HCPCS GROUP,C9266,,,40,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.658929
2,MCARE,MedicareAdv,I,0,CPT-HCPCS GROUP,C9267,,,243,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.952801
2,MCAID,Medicaid,I,0,CPT-HCPCS GROUP,C9268,,,40,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.97399
2,COMM,Commercial,O,0,CPT-HCPCS GROUP,C9269,,,243,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.901452
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,J0594,,,40,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.699856
2,MCAID,Medicaid,O,0,CPT-HCPCS GROUP,J0894,,,124,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.687678
2,MCAID,Medicaid,O,0,CPT-HCPCS GROUP,J1453,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.912745
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,J1454,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.972957
2,MCARE,MedicareAdv,O,0,CPT-HCPCS GROUP,J1455,,,40,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.595774
2,COMM,Commercial,O,0,CPT-HCPCS GROUP,J3315,,,40,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.696848
2,MCAID,Medicaid,O,0,CPT-HCPCS GROUP,J8520,,,40,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.574628
2,MCAID,Medicaid,O,0,CPT-HCPCS GROUP,J8521,,,124,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.546837
2,COMM,Commercial,O,0,CPT-HCPCS GROUP,J9305,,,124,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.874089
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,J9310,,,124,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.829373
2,MCARE,MedicareAdv,I,9,DIAGNOSIS_GROUP,23872,,,124,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.610213
2,MCARE,MedicareAdv,I,9,DIAGNOSIS_GROUP,3558,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.894979
2,MCARE,MedicareAdv,I,9,DIAGNOSIS_GROUP,990,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.624314
2,MCARE,MedicareAdv,I,9,DIAGNOSIS_GROUP,999,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.806542
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,9950,,,124,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.543721
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,9951,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.988999
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,9952,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.547018
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,9953,,,40,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.858913
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,9954,,,40,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.652769
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,9955,,,124,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.803278
2,MCARE,MedicareAdv,I,9,DIAGNOSIS_GROUP,140,,,40,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.687839
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,1400,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.825458
2,MCAID,Medicaid,I,9,DIAGNOSIS_GROUP,1401,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.559415
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,1404,,,40,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.595483
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,1409,,,40,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.853947
2,MCARE,MedicareAdv,I,9,DIAGNOSIS_GROUP,173,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.811775
2,MCARE,MedicareAdv,I,9,DIAGNOSIS_GROUP,1730,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.986293
2,COMM,Commercial,O,9,DIAGNOSIS_GROUP,1732,,,40,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.500098
2,COMM,Commercial,O,9,DIAGNOSIS_GROUP,1738,,,124,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.683806
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,1739,,,243,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.556159
2,MCARE,MedicareAdv,O,9,DIAGNOSIS_GROUP,2500,,,243,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.818499
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,25000,,,243,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.708606
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,25001,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.530721
2,MCARE,MedicareAdv,O,9,DIAGNOSIS_GROUP,25002,,,124,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.670997
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,2501,,,40,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.695215
2,COMM,Commercial,O,9,DIAGNOSIS_GROUP,25010,,,124,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.854682
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,25011,,,40,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.599149
2,MCARE,MedicareAdv,O,9,DIAGNOSIS_GROUP,25012,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.526685
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,2502,,,124,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.970993
2,COMM,Commercial,O,9,DIAGNOSIS_GROUP,25020,,,243,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.961456
2,COMM,Commercial,O,9,DIAGNOSIS_GROUP,401,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.904466
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,4010,,,124,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.989002
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,4011,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.801242
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,4019,,,40,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.787716
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,4020,,,124,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.51439
2,COMM,Commercial,O,9,DIAGNOSIS_GROUP,4021,,,40,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.82383
2,MCAID,Medicaid,O,9,DIAGNOSIS_GROUP,4029,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.947607
2,MCARE,MedicareAdv,O,9,DIAGNOSIS_GROUP,4030,,,40,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.916804
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,4031,,,40,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.820576
2,COMM,Commercial,I,9,DIAGNOSIS_GROUP,4039,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.606379
1,COMM,Commercial,R,0,NDC,70010006301,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.608879
1,COMM,Commercial,R,0,NDC,29300039710,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.608879
1,COMM,Commercial,R,0,NDC,43547035311,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.608879
1,COMM,Commercial,R,0,NDC,31722070190,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.608879
1,COMM,Commercial,R,0,NDC,00378395277,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.608879
1,COMM,Commercial,R,0,NDC,50436518301,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.608879
1,COMM,Commercial,R,0,NDC,70010006301,,,124,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.774917
1,COMM,Commercial,R,0,NDC,29300039710,,,124,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.774917
1,COMM,Commercial,R,0,NDC,43547035311,,,124,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.774917
1,COMM,Commercial,R,0,NDC,31722070190,,,124,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.774917
1,COMM,Commercial,R,0,NDC,00378395277,,,124,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.774917
1,COMM,Commercial,R,0,NDC,50436518301,,,124,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.774917
1,MCAID,Medicaid,R,0,NDC,70010006301,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.553395
1,MCAID,Medicaid,R,0,NDC,29300039710,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.553395
1,MCAID,Medicaid,R,0,NDC,43547035311,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.553395
1,MCAID,Medicaid,R,0,NDC,31722070190,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.553395
1,MCAID,Medicaid,R,0,NDC,00378395277,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.553395
1,MCAID,Medicaid,R,0,NDC,50436518301,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.553395
1,MCAID,Medicaid,R,0,NDC,70010006301,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.578795
1,MCAID,Medicaid,R,0,NDC,29300039710,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.578795
1,MCAID,Medicaid,R,0,NDC,43547035311,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.578795
1,MCAID,Medicaid,R,0,NDC,31722070190,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.578795
1,MCAID,Medicaid,R,0,NDC,00378395277,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.578795
1,MCAID,Medicaid,R,0,NDC,50436518301,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.578795
1,MCARE,MedicareAdv,R,0,NDC,70010006301,,,243,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.786724
1,MCARE,MedicareAdv,R,0,NDC,29300039710,,,243,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.786724
1,MCARE,MedicareAdv,R,0,NDC,43547035311,,,243,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.786724
1,MCARE,MedicareAdv,R,0,NDC,31722070190,,,243,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.786724
1,MCARE,MedicareAdv,R,0,NDC,00378395277,,,243,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.786724
1,MCARE,MedicareAdv,R,0,NDC,50436518301,,,243,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.786724
1,COMM,Commercial,R,0,NDC,70010006301,,,124,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.543721
1,COMM,Commercial,R,0,NDC,29300039710,,,124,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.543721
1,COMM,Commercial,R,0,NDC,43547035311,,,124,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.543721
1,COMM,Commercial,R,0,NDC,31722070190,,,124,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.543721
1,COMM,Commercial,R,0,NDC,00378395277,,,124,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.543721
1,COMM,Commercial,R,0,NDC,50436518301,,,124,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.543721
1,COMM,Commercial,R,0,NDC,70010006301,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.547018
1,COMM,Commercial,R,0,NDC,29300039710,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.547018
1,COMM,Commercial,R,0,NDC,43547035311,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.547018
1,COMM,Commercial,R,0,NDC,31722070190,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.547018
1,COMM,Commercial,R,0,NDC,00378395277,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.547018
1,COMM,Commercial,R,0,NDC,50436518301,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.547018
1,MCAID,Medicaid,R,0,NDC,70010006301,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.988999
1,MCAID,Medicaid,R,0,NDC,29300039710,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.988999
1,MCAID,Medicaid,R,0,NDC,43547035311,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.988999
1,MCAID,Medicaid,R,0,NDC,31722070190,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.988999
1,MCAID,Medicaid,R,0,NDC,00378395277,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.988999
1,MCAID,Medicaid,R,0,NDC,50436518301,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.988999
1,MCAID,Medicaid,R,0,NDC,70010006301,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.559415
1,MCAID,Medicaid,R,0,NDC,29300039710,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.559415
1,MCAID,Medicaid,R,0,NDC,43547035311,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.559415
1,MCAID,Medicaid,R,0,NDC,31722070190,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.559415
1,MCAID,Medicaid,R,0,NDC,00378395277,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.559415
1,MCAID,Medicaid,R,0,NDC,50436518301,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.559415
1,MCARE,MedicareAdv,R,0,NDC,70010006301,,,124,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.610213
1,MCARE,MedicareAdv,R,0,NDC,29300039710,,,124,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.610213
1,MCARE,MedicareAdv,R,0,NDC,43547035311,,,124,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.610213
1,MCARE,MedicareAdv,R,0,NDC,31722070190,,,124,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.610213
1,MCARE,MedicareAdv,R,0,NDC,00378395277,,,124,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.610213
1,MCARE,MedicareAdv,R,0,NDC,50436518301,,,124,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.610213
