ICD_VER,CLAIM_CD_TYPE,DIAGNOSIS_GROUP,CLAIM_CD
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N182
10,DIAGNOSIS_GROUP,AMIFOSTINE,D460
10,DIAGNOSIS_GROUP,AMIFOSTINE,D461
10,DIAGNOSIS_GROUP,AMIFOSTINE,D4620
10,DIAGNOSIS_GROUP,AMIFOSTINE,D4621
10,DIAGNOSIS_GROUP,AMIFOSTINE,D464
10,DIAGNOSIS_GROUP,AMIFOSTINE,D468
10,DIAGNOSIS_GROUP,AMIFOSTINE,G5790
10,DIAGNOSIS_GROUP,AMIFOSTINE,G5791
10,DIAGNOSIS_GROUP,AMIFOSTINE,G5792
10,DIAGNOSIS_GROUP,AMIFOSTINE,T66XXA
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C800
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C809
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C8190
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C8191
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C8290
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C8291
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C8400
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C8410
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C8420
10,DIAGNOSIS_GROUP,ANTINEOPLASTIC,C8590
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E1010
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E1011
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E109
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E110
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E1110
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E1111
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E119
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E1310
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E1311
10,DIAGNOSIS_GROUP,DIABETES_MELLITUS,E139
10,DIAGNOSIS_GROUP,HEART_FAILURE,I500
10,DIAGNOSIS_GROUP,HEART_FAILURE,I501
10,DIAGNOSIS_GROUP,HEART_FAILURE,I5020
10,DIAGNOSIS_GROUP,HEART_FAILURE,I5021
10,DIAGNOSIS_GROUP,HEART_FAILURE,I5022
10,DIAGNOSIS_GROUP,HEART_FAILURE,I5030
10,DIAGNOSIS_GROUP,HEART_FAILURE,I5031
10,DIAGNOSIS_GROUP,HEART_FAILURE,I5032
10,DIAGNOSIS_GROUP,HEART_FAILURE,I509
10,DIAGNOSIS_GROUP,HEART_FAILURE,I110
